"Gene_name"	"Control1"	"Tumor2"	"Control3"	"Tumor4"	"Control5"	"Tumor1"	"Control2"	"Tumor3"	"Control4"	"Tumor5"
"Gene1"	3.64605770284245	-0.989902484025789	2.21040409145792	-0.206304980860121	2.85974410397997	1.33042841525814	2.69037625197628	0.613594315459147	2.47041319997306	0.515824550372639
"Gene2"	4.27117208852717	-1.16217764717461	2.73411886218634	-2.47821731114131	3.75201305790091	0.0255638999964919	4.47179536686732	1.6516242241333	2.7355075766796	-0.583778396977907
"Gene3"	3.53044799733284	1.11451101193961	1.63548452888795	-0.424121515422879	3.70142692278906	1.22633124237489	3.58878653397491	-0.634965559964648	1.99984447367284	0.14173487588181
"Gene4"	3.0611222403098	-1.18791027226494	4.33122898924391	0.873331409488203	2.34935152957398	0.482547916074253	1.85443253138361	-1.22376835000928	1.15437690988942	-0.9301261494233
"Gene5"	1.95681668546221	0.254310418019742	1.98443800371317	1.27138446830405	1.68591661042142	1.45547391118914	2.44583005685769	0.331690926453787	2.71516332682116	0.186639970826385
"Gene6"	2.00091941443115	0.0601597235713407	4.48090119958985	0.978068229260669	3.06347532108749	-0.422299375776831	3.58536601640637	1.06889999980548	2.56342211741441	1.34658304495794
"Gene7"	2.57026682270886	0.281997080771017	2.88514936193807	-0.833096351432355	4.02852364951572	-1.0544813243986	3.18474229290156	-0.0553177643295568	2.29431468921884	-1.11600545536687
"Gene8"	2.04286722330107	-0.143951079770308	3.52312844334888	1.15449085459854	1.68144401610709	1.30714831480423	3.83283337706375	-0.560312811857328	3.09421908611858	-1.32255759135237
"Gene9"	3.20640154898874	-0.492425099239335	2.42976202463454	-0.980646283007113	3.73230350466544	-0.933593245436004	3.35123443221584	-1.04893278222907	3.20880605355573	0.418536028501479
"Gene10"	3.01324929722122	0.0831220884552451	2.71621230935996	0.264136630733601	3.00315539796384	-1.48891326149852	1.89371778095603	0.241823626446297	2.75874772290355	0.992774713099798
"Gene11"	0.525245335516337	-0.125281815397116	1.98258801323099	1.25587304330484	1.72130657528429	3.33443440097141	-1.14671997991542	2.79531695730023	0.230179278745857	1.87567547912315
"Gene12"	0.64135873685689	1.08074383695762	-0.41434472716078	2.03200523936978	1.63076146002238	0.594641641199243	-0.385276575773152	3.09480549944123	0.89946266818841	2.13953572986591
"Gene13"	0.778467289623196	1.39397888234478	-0.641416834434727	2.58302186431346	-0.760241941379953	1.11448120561976	0.0147965421059807	1.72148599648951	0.582310073603496	3.95199000440402
"Gene14"	-1.31211856524232	0.929559725738129	-0.192162399713495	2.21999353695336	0.0416833996198677	3.04316212173241	-0.232447312057876	2.06434835994836	0.272114877479298	2.35771608111461
"Gene15"	-0.450299963274045	6.1817611985431	-0.769247278991498	6.01558532444451	-1.11681617334806	5.04220751099756	-0.86980073722054	5.86912996563008	0.317280150902204	6.93394317613965
"Gene16"	-0.980681254892518	5.59943311435535	0.648858582130001	4.94696867458044	0.964588124184688	4.8888037478231	-1.43675781049529	6.10711379894097	0.533081706576278	6.9532811858812
"Gene17"	0.461840735291481	4.88727254034774	0.264777657556204	5.72889541823275	-0.792803842730288	5.98420158556085	-0.334034636686585	6.04522662186325	-1.09721194924943	5.0488847428813
"Gene18"	0.184399611963377	6.42377185710288	-0.634704692232601	6.17761050224891	-0.424493866389451	5.8012474805791	0.196534171669003	7.04571882418232	-0.320011422067175	4.45596626986551
"Gene19"	0.216633814153591	7.36334499151954	-0.701505779056565	7.67986995313643	0.342106410436628	4.35765331289268	-0.625395703857065	4.78555386167032	0.570860379149449	6.60833752283822
"Gene20"	-1.49041967634056	3.02488322276605	-0.604289731843943	5.87370324649717	1.26157381504875	7.24630380161124	-0.271302342568583	5.20837547184471	-0.870032809024178	4.38640133939197
